video_id,exercise,camera,video_path,sampled_video_frame_idx,detected_person_count
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,0,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,10,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,20,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,30,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,40,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,50,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,60,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,70,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,80,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,90,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,100,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,110,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,120,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,130,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,140,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,150,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,160,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,170,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,180,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,190,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,200,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,210,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,220,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,230,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,240,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,250,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,260,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,270,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,280,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,290,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,300,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,310,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,320,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,330,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,340,1
PM_010,Ex3,c17,C:\Users\Eren\bachelor\data\videos\Ex3\PM_010-Camera17-30fps.mp4,350,1
